Singapore,Singapore,608535,6 Gateway Drive,Condo,
Singapore,Singapore,278992,273 Holland Ave #02-01/02,Restaurant,
Singapore,Singapore,249676,17A Dempsey Road,Restaurant,
Singapore,Singapore,69464,96B Club Street,Bar,
Singapore,Singapore,219085,238 Serangoon Rd,Restaurant,
Singapore,Singapore,399718,100 Guillemard Road,Coffee,
Singapore,Singapore,208561,115 King George's Avenue #01-02,Coffee,
Singapore,Singapore,68601,136 Telok Ayer Street,Coffee,
Singapore,Singapore,229457,31 Cuppage Terrace,Restaurant,
Singapore,Singapore,139955,"79 Ayer Rajah Crescent, Block 79",Business,
Singapore,Singapore,227977,10 Winstedt Rd,Restaurant,
Singapore,Singapore,249541,39C Harding Rd,Restaurant,
Singapore,Singapore,69449,81 Club St,Restaurant,
Singapore,Singapore,729826,80 MANDAI LAKE RD,Tourist Attraction,
Singapore,Singapore,18953,178 Marina Gardens Dr,Garden,
Singapore,Singapore,918146,Changi Airport,Airport,
Singapore,Singapore,567720,2 Ang Mo Kio Dr,College,
